emoji,CLRDname,Index,count,first,last,posnetneg,total,unicodeorgmediumclass,unicodeorgbigclass,unicodeyear,userunknown,UnicodeAbstraction
\U0001f629,:weary_face:,60,19,2015-12-14,2017-12-01,,19,face-negative,Smileys & People,2010,False,"u'\U0001F629',"
\U0001f422,:turtle:,1570,5,2016-04-07,2017-03-28,,5,animal-reptile,Animals & Nature,2010,False,"u'\U0001F422',"
\U0001f306,:cityscape_at_dusk:,1773,1,2018-12-31,2010-01-01,,1,place-other,Travel & Places,2010,False,"u'\U0001F306',"
\U0001f4fa,:television:,2036,2,2017-05-19,2017-05-19,,2,light & video,Objects,2010,False,"u'\U0001F4FA',"
\u2714,:heavy_check_mark:,2259,17,2015-02-04,2017-05-13,,38,other-symbol,Symbols,1995,False,"u'\U00002714',"
\u2652,:Aquarius:,2221,4,2018-12-31,2010-01-01,,4,zodiac,Symbols,1995,False,"u'\U00002652',"
\U0001f3ad,:performing_arts:,1783,1,2018-12-31,2010-01-01,,1,place-other,Travel & Places,2010,False,"u'\U0001F3AD',"
\U0001f428,:koala:,1553,4,2016-07-15,2016-07-15,,4,animal-mammal,Animals & Nature,2010,False,"u'\U0001F428',"
\U0001f6a2,:ship:,1834,2,2016-06-23,2016-06-23,,2,transport-water,Travel & Places,2010,False,"u'\U0001F6A2',"
\U0001f530,:Japanese_symbol_for_beginner:,2255,1,2018-12-31,2010-01-01,,1,other-symbol,Symbols,2010,False,"u'\U0001F530',"
\xa9,:copyright:,,41,2015-08-27,2017-11-29,,53,,,,False,
\U0001f3fa,:amphora:,1722,1,2016-06-26,2016-06-26,,1,dishware,Food & Drink,2015,False,"u'\U0001F3FA',"
\u2763,:heavy_heart_exclamation:,1461,4,2018-12-31,2010-01-01,,4,emotion,Smileys & People,1995,False,"u'\U00002763',"
\U0001f60c,:relieved_face:,37,9,2016-05-16,2017-01-02,,9,face-neutral,Smileys & People,2010,False,"u'\U0001F60C',"
\U0001f22f,:Japanese_reserved_button:,2322,2,2018-12-31,2010-01-01,,2,alphanum,Symbols,2009,False,"u'\U0001F22F',"
\U0001f30f,:globe_showing_Asia-Australia:,1725,4,2017-04-24,2017-05-26,,4,place-map,Travel & Places,2010,False,"u'\U0001F30F',"
\U0001f637,:face_with_medical_mask:,71,5,2017-09-30,2017-09-30,,8,face-sick,Smileys & People,2010,False,"u'\U0001F637',"
\U0001f611,:expressionless_face:,25,29,2015-12-13,2017-10-03,,32,face-neutral,Smileys & People,2012,False,"u'\U0001F611',"
\U0001f302,:closed_umbrella:,1918,3,2015-11-08,2015-11-08,,3,sky & weather,Travel & Places,2010,False,"u'\U0001F302',"
\U0001f44f,:clapping_hands:,1390,41,2016-01-25,2017-09-21,,65,body,Smileys & People,2010,False,"u'\U0001F44F \U0001F3FC',"
